team_en,elo
Spain,2027.9251070902171
Argentina,1965.179762934455
France,1949.8579602899001
Morocco,1919.1548172500593
England,1904.169357905376
Japan,1893.1965423753843
Brazil,1873.9621197150973
Portugal,1867.6472275705532
Senegal,1856.4391411834474
Colombia,1851.9738809545747
Netherlands,1851.0415875201927
Nigeria,1830.5254673737916
Germany,1830.4443647246649
Mexico,1826.3993247268656
Australia,1824.7347864235178
Iran,1823.9985537800558
Ecuador,1817.7113231449482
Croatia,1810.1334753230358
Algeria,1810.1017204807808
South Korea,1792.4888761563302
Norway,1791.9669711608792
Uruguay,1791.6665373555488
Uzbekistan,1786.4675494449557
Turkey,1785.577915644896
Switzerland,1782.6954540822865
Canada,1777.124171572518
Belgium,1766.8544397385433
Ivory Coast,1766.22385090804
Egypt,1765.009658864448
Panama,1764.3677429014692
Denmark,1758.2872193781816
Italy,1755.7495712767625
Jordan,1741.2378975667757
United States,1737.1918435528535
Austria,1729.7697145910347
DR Congo,1725.4617264189976
Russia,1718.0288424084113
Jersey,1713.606378978648
Paraguay,1708.9839600660673
Tunisia,1707.6929058816836
Iraq,1703.3548786502154
Cameroon,1692.5535827859562
Costa Rica,1685.809612900694
Serbia,1680.4456669893682
Mali,1678.4605034876508
New Zealand,1668.4289623803713
Haiti,1667.1155246931967
Ukraine,1661.2185417012874
Scotland,1660.1196875759742
Greece,1655.6170008512925
Isle of Man,1655.3768157874617
Jamaica,1653.635198364346
Honduras,1653.5141583345548
Saudi Arabia,1646.1570129692086
United Arab Emirates,1644.6791580297138
Guernsey,1643.517703281158
Sweden,1640.9849320947515
Poland,1637.583343217555
South Africa,1636.66090556551
Kosovo,1635.7336010940862
Czech Republic,1633.5986045819736
Burkina Faso,1633.590600451121
Venezuela,1627.1511084898273
Chile,1627.0132129316883
Cape Verde,1626.830933036104
Padania,1620.4619881064334
Guatemala,1619.6022399711346
Wales,1616.4479829814463
Syria,1610.2811191976223
New Caledonia,1604.7290441742266
Northern Cyprus,1604.2135445752215
Curaçao,1603.9886543616144
Ynys Môn,1602.3268432962209
Hungary,1601.8427295582537
Slovenia,1600.5599185940807
Republic of Ireland,1597.2637570743082
Thailand,1595.5200172277148
Ghana,1594.1599537052596
Oman,1589.8324330575022
Slovakia,1587.4694063271436
Peru,1587.0100367601387
Palestine,1576.0212926786405
Occitania,1575.8395259882618
Abkhazia,1574.9777305356306
Isle of Wight,1571.9298527311241
Bolivia,1571.1277585413911
Georgia,1568.6804303673262
Suriname,1568.2014266079534
Angola,1565.7721692421107
Qatar,1564.6999177454456
Réunion,1561.1995012872412
Iraqi Kurdistan,1558.986764188177
Guinea,1558.9057742338618
Albania,1557.7153841340714
Romania,1556.9850740249485
Kárpátalja,1555.296015379117
Basque Country,1548.1565411208367
Vietnam,1547.1557662368928
Guadeloupe,1546.003184759437
Guyana,1544.7469835953377
China PR,1543.5486624736902
Israel,1543.4113808105901
Panjab,1542.7197390951517
Tahiti,1542.2339011687584
Malaysia,1541.4829919909657
Bahrain,1539.6682331334428
Ellan Vannin,1537.3797243321792
Dominican Republic,1533.2564089431248
Yorkshire,1532.193061576354
County of Nice,1531.181520648278
Libya,1528.9770218925073
Chameria,1528.5548945019896
Benin,1528.2246188657402
Artsakh,1527.7461702018875
Zanzibar,1526.7836797386851
Kernow,1525.838055748757
Czechoslovakia,1525.4975974424126
Yugoslavia,1523.3446124299355
Tamil Eelam,1523.0719344704496
Cascadia,1522.9630011960112
Catalonia,1522.6988820353492
Bosnia and Herzegovina,1521.8021625291885
Gambia,1521.107874604871
Maule Sur,1520.7600580762366
Rhodes,1520.2615492195894
Zambia,1519.7244834586022
